image_id,image_path,mask_available,mask_path,split,target_labels_allowed_for_training,seed
ISIC_0000003,D:\Project_ConvLoRA\ISIC-2017_Training_Data\ISIC_0000003.jpg,true,D:\Project_ConvLoRA\ISIC-2017_Training_Part1_GroundTruth\ISIC_0000003_segmentation.png,target_adaptation,false,42
ISIC_0000014,D:\Project_ConvLoRA\ISIC-2017_Training_Data\ISIC_0000014.jpg,true,D:\Project_ConvLoRA\ISIC-2017_Training_Part1_GroundTruth\ISIC_0000014_segmentation.png,target_adaptation,false,42
ISIC_0000015,D:\Project_ConvLoRA\ISIC-2017_Training_Data\ISIC_0000015.jpg,true,D:\Project_ConvLoRA\ISIC-2017_Training_Part1_GroundTruth\ISIC_0000015_segmentation.png,target_adaptation,false,42
ISIC_0000020,D:\Project_ConvLoRA\ISIC-2017_Training_Data\ISIC_0000020.jpg,true,D:\Project_ConvLoRA\ISIC-2017_Training_Part1_GroundTruth\ISIC_0000020_segmentation.png,target_adaptation,false,42
ISIC_0000023,D:\Project_ConvLoRA\ISIC-2017_Training_Data\ISIC_0000023.jpg,true,D:\Project_ConvLoRA\ISIC-2017_Training_Part1_GroundTruth\ISIC_0000023_segmentation.png,target_adaptation,false,42
ISIC_0000027,D:\Project_ConvLoRA\ISIC-2017_Training_Data\ISIC_0000027.jpg,true,D:\Project_ConvLoRA\ISIC-2017_Training_Part1_GroundTruth\ISIC_0000027_segmentation.png,target_adaptation,false,42
ISIC_0000036,D:\Project_ConvLoRA\ISIC-2017_Training_Data\ISIC_0000036.jpg,true,D:\Project_ConvLoRA\ISIC-2017_Training_Part1_GroundTruth\ISIC_0000036_segmentation.png,target_adaptation,false,42
ISIC_0000037,D:\Project_ConvLoRA\ISIC-2017_Training_Data\ISIC_0000037.jpg,true,D:\Project_ConvLoRA\ISIC-2017_Training_Part1_GroundTruth\ISIC_0000037_segmentation.png,target_adaptation,false,42
ISIC_0000040,D:\Project_ConvLoRA\ISIC-2017_Training_Data\ISIC_0000040.jpg,true,D:\Project_ConvLoRA\ISIC-2017_Training_Part1_GroundTruth\ISIC_0000040_segmentation.png,target_adaptation,false,42
ISIC_0000043,D:\Project_ConvLoRA\ISIC-2017_Training_Data\ISIC_0000043.jpg,true,D:\Project_ConvLoRA\ISIC-2017_Training_Part1_GroundTruth\ISIC_0000043_segmentation.png,target_adaptation,false,42
ISIC_0000056,D:\Project_ConvLoRA\ISIC-2017_Training_Data\ISIC_0000056.jpg,true,D:\Project_ConvLoRA\ISIC-2017_Training_Part1_GroundTruth\ISIC_0000056_segmentation.png,target_adaptation,false,42
ISIC_0000057,D:\Project_ConvLoRA\ISIC-2017_Training_Data\ISIC_0000057.jpg,true,D:\Project_ConvLoRA\ISIC-2017_Training_Part1_GroundTruth\ISIC_0000057_segmentation.png,target_adaptation,false,42
ISIC_0000064,D:\Project_ConvLoRA\ISIC-2017_Training_Data\ISIC_0000064.jpg,true,D:\Project_ConvLoRA\ISIC-2017_Training_Part1_GroundTruth\ISIC_0000064_segmentation.png,target_adaptation,false,42
ISIC_0000066,D:\Project_ConvLoRA\ISIC-2017_Training_Data\ISIC_0000066.jpg,true,D:\Project_ConvLoRA\ISIC-2017_Training_Part1_GroundTruth\ISIC_0000066_segmentation.png,target_adaptation,false,42
ISIC_0000069,D:\Project_ConvLoRA\ISIC-2017_Training_Data\ISIC_0000069.jpg,true,D:\Project_ConvLoRA\ISIC-2017_Training_Part1_GroundTruth\ISIC_0000069_segmentation.png,target_adaptation,false,42
ISIC_0000071,D:\Project_ConvLoRA\ISIC-2017_Training_Data\ISIC_0000071.jpg,true,D:\Project_ConvLoRA\ISIC-2017_Training_Part1_GroundTruth\ISIC_0000071_segmentation.png,target_adaptation,false,42
ISIC_0000072,D:\Project_ConvLoRA\ISIC-2017_Training_Data\ISIC_0000072.jpg,true,D:\Project_ConvLoRA\ISIC-2017_Training_Part1_GroundTruth\ISIC_0000072_segmentation.png,target_adaptation,false,42
ISIC_0000088,D:\Project_ConvLoRA\ISIC-2017_Training_Data\ISIC_0000088.jpg,true,D:\Project_ConvLoRA\ISIC-2017_Training_Part1_GroundTruth\ISIC_0000088_segmentation.png,target_adaptation,false,42
ISIC_0000098,D:\Project_ConvLoRA\ISIC-2017_Training_Data\ISIC_0000098.jpg,true,D:\Project_ConvLoRA\ISIC-2017_Training_Part1_GroundTruth\ISIC_0000098_segmentation.png,target_adaptation,false,42
ISIC_0000099,D:\Project_ConvLoRA\ISIC-2017_Training_Data\ISIC_0000099.jpg,true,D:\Project_ConvLoRA\ISIC-2017_Training_Part1_GroundTruth\ISIC_0000099_segmentation.png,target_adaptation,false,42
ISIC_0000101,D:\Project_ConvLoRA\ISIC-2017_Training_Data\ISIC_0000101.jpg,true,D:\Project_ConvLoRA\ISIC-2017_Training_Part1_GroundTruth\ISIC_0000101_segmentation.png,target_adaptation,false,42
ISIC_0000107,D:\Project_ConvLoRA\ISIC-2017_Training_Data\ISIC_0000107.jpg,true,D:\Project_ConvLoRA\ISIC-2017_Training_Part1_GroundTruth\ISIC_0000107_segmentation.png,target_adaptation,false,42
ISIC_0000111,D:\Project_ConvLoRA\ISIC-2017_Training_Data\ISIC_0000111.jpg,true,D:\Project_ConvLoRA\ISIC-2017_Training_Part1_GroundTruth\ISIC_0000111_segmentation.png,target_adaptation,false,42
ISIC_0000113,D:\Project_ConvLoRA\ISIC-2017_Training_Data\ISIC_0000113.jpg,true,D:\Project_ConvLoRA\ISIC-2017_Training_Part1_GroundTruth\ISIC_0000113_segmentation.png,target_adaptation,false,42
ISIC_0000126,D:\Project_ConvLoRA\ISIC-2017_Training_Data\ISIC_0000126.jpg,true,D:\Project_ConvLoRA\ISIC-2017_Training_Part1_GroundTruth\ISIC_0000126_segmentation.png,target_adaptation,false,42
ISIC_0000129,D:\Project_ConvLoRA\ISIC-2017_Training_Data\ISIC_0000129.jpg,true,D:\Project_ConvLoRA\ISIC-2017_Training_Part1_GroundTruth\ISIC_0000129_segmentation.png,target_adaptation,false,42
ISIC_0000132,D:\Project_ConvLoRA\ISIC-2017_Training_Data\ISIC_0000132.jpg,true,D:\Project_ConvLoRA\ISIC-2017_Training_Part1_GroundTruth\ISIC_0000132_segmentation.png,target_adaptation,false,42
ISIC_0000136,D:\Project_ConvLoRA\ISIC-2017_Training_Data\ISIC_0000136.jpg,true,D:\Project_ConvLoRA\ISIC-2017_Training_Part1_GroundTruth\ISIC_0000136_segmentation.png,target_adaptation,false,42
ISIC_0000138,D:\Project_ConvLoRA\ISIC-2017_Training_Data\ISIC_0000138.jpg,true,D:\Project_ConvLoRA\ISIC-2017_Training_Part1_GroundTruth\ISIC_0000138_segmentation.png,target_adaptation,false,42
